"observed","SAR","M5P.pred","SVMR.pred","predLars","predMars"
0.54,0.57,0.563862547683266,0.663076155867793,0.70100309889634,0.599971064237091
0.49,0.57,0.563862547683266,0.652350548073982,0.709578397870261,0.599971064237091
0.58,0.57,0.563862547683266,0.637669152012426,0.670808282861636,0.599971064237091
0.5,0.455833333333334,0.563862547683266,0.465289034111126,0.487448654644397,0.367451782443118
0.6,0.57,0.563862547683266,0.675490611002374,0.732893507856209,0.599971064237091
0.54,0.57,0.563862547683266,0.668292395385945,0.728655249547228,0.599971064237091
0.61,0.57,0.563862547683266,0.636245008091335,0.729831621561668,0.599971064237091
0.62,0.651842105263158,0.628672077487428,0.60800777139486,0.626477839593858,0.641836622847662
0.62,0.6,0.628672077487428,0.553814770251301,0.521023338086556,0.571883792070917
0.58,0.651842105263158,0.628672077487428,0.530274244522969,0.526093160791767,0.526123490804893
0.61,0.404,0.628672077487428,0.641801819408776,0.413234955513121,0.496872575876374
0.7,0.651842105263158,0.628672077487428,0.599555055574017,0.643448173441873,0.641836622847662
0.61,0.455833333333334,0.628672077487428,0.620114465621515,0.412923395341914,0.496990288912461
0.6,0.47211666675,0.628672077487428,0.444234377696243,0.586701356142399,0.641836622847662
0.81,0.803571428571429,0.739485588683184,0.751637337056585,0.710131724519241,0.780217842961549
0.85,0.803571428571429,0.739485588683184,0.823808964795779,0.736913612921917,0.780217842961549
0.83,0.803571428571429,0.739485588683184,0.739082514387097,0.649344109919035,0.69772736686709
0.85,0.803571428571429,0.739485588683184,0.732319761904905,0.736224137471366,0.780217842961549
0.793333333,0.705111111133333,0.707581991751418,0.718383478979952,0.668639656904857,0.817302519153837
0.73,0.705111111133333,0.707855899350385,0.724791304535028,0.737594551483343,0.754884638067747
0.67,0.705111111133333,0.707855899350385,0.676308654701927,0.700379197941698,0.754884638067747
0.54,0.705111111133333,0.707855899350385,0.654205042286841,0.607966515214839,0.639171506024978
0.65,0.705111111133333,0.707855899350385,0.721126337403535,0.713061253035044,0.754884638067747
0.75,0.705111111133333,0.707855899350385,0.701104552825249,0.724632052414393,0.754884638067747
0.72,0.69,0.659142697357204,0.683355017133482,0.671811912622406,0.723579532468486
0.73,0.76695652173913,0.659142697357204,0.716976832589559,0.690198766150989,0.723579532468486
0.84,0.76695652173913,0.659142697357204,0.728366529822151,0.698593801025082,0.723579532468486
0.44,0.455833333333334,0.659142697357204,0.488510593099048,0.468069022925124,0.489384807901103
0.79,0.76695652173913,0.659142697357204,0.697853378465793,0.709275617827955,0.723579532468486
0.62,0.708181818181818,0.682404207402181,0.662255106357055,0.677256060002118,0.776534780491935
0.67,0.708181818181818,0.682404207402181,0.580341982395794,0.586682935754689,0.660821648449167
0.62,0.708181818181818,0.682404207402181,0.644619840614968,0.6956429135307,0.776534780491935
0.76,0.708181818181818,0.682404207402181,0.733664856006606,0.703348472954243,0.776534780491935
0.81,0.799,0.794775960029333,0.698045723207564,0.692459574079458,0.714270325910389
0.59,0.55,0.794775960029333,0.583427345685434,0.587005072572157,0.600880851419504
0.81,0.799,0.794775960029333,0.791123709373523,0.721702931545871,0.714270325910389
0.79,0.799,0.794775960029333,0.713303531941924,0.684487578004226,0.714270325910389
0.51,0.463333333333333,0.794775960029333,0.57647784491009,0.592074895277367,0.59855719386762
0.7,0.799,0.794775960029333,0.688603593124525,0.662264758044754,0.714270325910389
0.59,0.545,0.794775960029333,0.596479074960773,0.62186040492459,0.632675843918535
